"logoPlanID","policyS3LogoMappingID","pbp","cmsContractNumber","carrier","account","group","displayPlanName","isDefaultLogo","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyLogoID","isDeleted","s3LogoMappingID","policyID","policyS3LogoID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3LogoID-2","s3LogoName","s3LogoURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3"
7638,1508,NULL,NULL,"erx","erx","H4490001","American Health Advantage of Missouri (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:35:13.650702+00",NULL,"2022-01-11 19:35:13.650702+00",NULL,7830,False,1508,1306,649,"2022-01-11 19:35:13.650702+00",NULL,"2022-01-11 19:35:13.650702+00",NULL,649,"H4490001_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H4490001_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7639,1509,NULL,NULL,"erx","erx","H4490002","American Health Advantage of Missouri Premier (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:35:50.811671+00",NULL,"2022-01-11 19:35:50.811671+00",NULL,7831,False,1509,1306,646,"2022-01-11 19:35:50.811671+00",NULL,"2022-01-11 19:35:50.811671+00",NULL,646,"H4490002_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H4490002_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7640,1510,NULL,NULL,"erx","erx","H4490003","American Health Advantage of Missouri Choice (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:36:15.083696+00",NULL,"2022-01-11 19:36:15.083696+00",NULL,7832,False,1510,1306,647,"2022-01-11 19:36:15.083696+00",NULL,"2022-01-11 19:36:15.083696+00",NULL,647,"H4490003_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H4490003_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7641,1511,NULL,NULL,"erx","erx","H4232001","American Health Advantage of Utah (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:43:33.30974+00",NULL,"2022-01-11 19:43:33.30974+00",NULL,7833,False,1511,1422,639,"2022-01-11 19:43:33.30974+00",NULL,"2022-01-11 19:43:33.30974+00",NULL,639,"H4232001_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H4232001_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7642,1512,NULL,NULL,"erx","erx","H4232002","American Health Advantage of Utah Premier (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:43:58.486704+00",NULL,"2022-01-11 19:43:58.486704+00",NULL,7834,False,1512,1422,644,"2022-01-11 19:43:58.486704+00",NULL,"2022-01-11 19:43:58.486704+00",NULL,644,"H4232002_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H4232002_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7643,1513,NULL,NULL,"erx","erx","H4232003","American Health Advantage of Idaho (HMO I-SNP)",False,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:44:32.66071+00",NULL,"2022-01-11 19:44:32.66071+00",NULL,7835,False,1513,1422,642,"2022-01-11 19:44:32.66071+00",NULL,"2022-01-11 19:44:32.66071+00",NULL,642,"H4232003_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H4232003_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7644,1514,NULL,"H6652",NULL,NULL,NULL,"American Health Advantage of Florida (HMO I-SNP)",True,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:52:30.886565+00",NULL,"2022-01-11 19:52:30.886565+00",NULL,7836,False,1514,1423,648,"2022-01-11 19:52:30.886565+00",NULL,"2022-01-11 19:52:30.886565+00",NULL,648,"H6652001_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H6652001_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7645,1515,NULL,"H6891",NULL,NULL,NULL,"American Health Advantage of Texas (HMO I-SNP)",True,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:53:24.424236+00",NULL,"2022-01-11 19:53:24.424236+00",NULL,7837,False,1515,1424,637,"2022-01-11 19:53:24.424236+00",NULL,"2022-01-11 19:53:24.424236+00",NULL,637,"H6891001_logo_black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H6891001_logo_black.jpg","2021-12-20 14:29:49.68887+00",NULL,"2021-12-20 14:29:49.68887+00",NULL
7646,1516,NULL,"H9306",NULL,NULL,NULL,"Alterwood Advantage",True,"2022-01-12 05:00:00+00",NULL,"2022-01-11 19:55:15.562711+00",NULL,"2022-01-11 19:55:15.562711+00",NULL,7838,False,1516,1660,627,"2022-01-11 19:55:15.562711+00",NULL,"2022-01-11 19:55:15.562711+00",NULL,627,"Alterwood Advantage.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Alterwood%20Advantage.jpg","2021-12-08 14:54:45.112821+00",NULL,"2021-12-08 14:54:45.112821+00",NULL
7669,1304,"001","H3113",NULL,NULL,NULL,"UnitedHealthcare",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:23:20.245797+00",NULL,"2022-01-13 23:23:20.245797+00",NULL,7860,False,1304,1269,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7651,1518,"001","H2531",NULL,NULL,NULL,"UnitedHealthcare Connected for MyCareOhio (Medicare-Medicaid Plan)",True,"2022-01-14 05:00:00+00",NULL,"2022-01-13 21:26:50.252491+00",NULL,"2022-01-13 21:26:50.252491+00",NULL,7843,False,1518,1264,622,"2022-01-13 21:26:50.252491+00",NULL,"2022-01-13 21:26:50.252491+00",NULL,622,"H2531_Ohio_MMP_Logo.png","https://cc-policy-config-logos-prod.s3.amazonaws.com/H2531_Ohio_MMP_Logo.png","2021-12-08 14:54:45.112821+00",NULL,"2021-12-08 14:54:45.112821+00",NULL
7652,1302,"002","H2582",NULL,NULL,NULL,"Rocky Mountain Health Plans",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 21:29:02.464503+00",NULL,"2022-01-13 21:29:02.464503+00",NULL,7844,False,1302,1215,208,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,208,"H2582_RMHP_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/H2582_RMHP_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7658,1277,"009","H0432",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 22:43:42.782813+00",NULL,"2022-01-13 22:43:42.782813+00",NULL,7849,False,1277,1235,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7659,1277,"013","H0432",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 22:44:05.988749+00",NULL,"2022-01-13 22:44:05.988749+00",NULL,7850,False,1277,1235,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7660,1301,"001","H2577",NULL,NULL,NULL,"UnitedHealthcare Connected (Medicare-Medicaid Plan)",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 22:45:40.97175+00",NULL,"2022-01-13 22:45:40.97175+00",NULL,7851,False,1301,1214,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7661,1301,"003","H2577",NULL,NULL,NULL,"UnitedHealthcare Connected® for One Care (Medicare-Medicaid Plan)",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 22:46:01.055731+00",NULL,"2022-01-13 22:46:01.055731+00",NULL,7852,False,1301,1214,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7662,1296,"041","H2228",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:19:12.415817+00",NULL,"2022-01-13 23:19:12.415817+00",NULL,7853,False,1296,1258,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7663,1296,"043","H2228",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:19:31.593863+00",NULL,"2022-01-13 23:19:31.593863+00",NULL,7854,False,1296,1258,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7664,1296,"044","H2228",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:19:49.614841+00",NULL,"2022-01-13 23:19:49.614841+00",NULL,7855,False,1296,1258,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7665,1296,"045","H2228",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:20:11.760844+00",NULL,"2022-01-13 23:20:11.760844+00",NULL,7856,False,1296,1258,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7666,1303,"044","H2802",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:21:05.247793+00",NULL,"2022-01-13 23:21:05.247793+00",NULL,7857,False,1303,1266,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7667,1303,"053","H2802",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:21:24.39379+00",NULL,"2022-01-13 23:21:24.39379+00",NULL,7858,False,1303,1266,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7670,1304,"008","H3113",NULL,NULL,NULL,"UnitedHealthcare",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:23:54.52585+00",NULL,"2022-01-13 23:23:54.52585+00",NULL,7861,False,1304,1269,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7671,1304,"009","H3113",NULL,NULL,NULL,"UnitedHealthcare",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:24:11.779823+00",NULL,"2022-01-13 23:24:11.779823+00",NULL,7862,False,1304,1269,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7672,1316,"013","H4514",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:24:57.201866+00",NULL,"2022-01-13 23:24:57.201866+00",NULL,7863,False,1316,1280,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7673,1316,"016","H4514",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:25:12.192777+00",NULL,"2022-01-13 23:25:12.192777+00",NULL,7864,False,1316,1280,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7674,1317,"003","H4527",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:25:59.524818+00",NULL,"2022-01-13 23:25:59.524818+00",NULL,7865,False,1317,1279,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7675,1317,"004","H4527",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:26:14.654809+00",NULL,"2022-01-13 23:26:14.654809+00",NULL,7866,False,1317,1279,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7676,1317,"006","H4527",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:26:31.740816+00",NULL,"2022-01-13 23:26:31.740816+00",NULL,7867,False,1317,1279,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7677,1317,"015","H4527",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:26:51.980796+00",NULL,"2022-01-13 23:26:51.980796+00",NULL,7868,False,1317,1279,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7678,1318,"020","H4590",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:30:03.850883+00",NULL,"2022-01-13 23:30:03.850883+00",NULL,7869,False,1318,1278,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7679,1318,"022","H4590",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:32:14.368311+00",NULL,"2022-01-13 23:32:14.368311+00",NULL,7870,False,1318,1278,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7647,1517,NULL,"H4054",NULL,NULL,NULL,"Providers Partners Health Plan of Texas",True,"2022-01-12 05:00:00+00","2031-01-01 04:59:59.999+00","2022-01-11 19:58:57.297625+00",NULL,"2022-11-01 18:32:19.586019+00","216672",7839,False,1517,1661,408,"2022-01-11 19:58:57.297625+00",NULL,"2022-01-11 19:58:57.297625+00",NULL,408,"Logo_H8067.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Logo_H8067.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7680,1318,"033","H4590",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:32:14.368311+00",NULL,"2022-01-13 23:32:14.368311+00",NULL,7871,False,1318,1278,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7682,1321,"001","H5008",NULL,NULL,NULL,"UnitedHealthcare",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:32:14.368311+00",NULL,"2022-01-13 23:32:14.368311+00",NULL,7873,False,1321,1276,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7683,1322,"024","H5253",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:32:41.726886+00",NULL,"2022-01-13 23:32:41.726886+00",NULL,7874,False,1322,1275,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7684,1322,"041","H5253",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:33:00.862168+00",NULL,"2022-01-13 23:33:00.862168+00",NULL,7875,False,1322,1275,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7685,1322,"059","H5253",NULL,NULL,NULL,"UnitedHealthcare Community Plan",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:33:30.936888+00",NULL,"2022-01-13 23:33:30.936888+00",NULL,7876,False,1322,1275,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
7687,1323,"001","H5322",NULL,NULL,NULL,"UnitedHealthcare",False,"2022-01-14 05:00:00+00",NULL,"2022-01-13 23:34:23.359863+00",NULL,"2022-01-13 23:34:23.359863+00",NULL,7878,False,1323,1273,540,"2021-09-07 13:32:50.66768+00",NULL,"2021-09-07 13:32:50.66768+00",NULL,540,"UHC_MB_v2.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/UHC_MB_v2.jpg","2021-09-07 13:23:10.115392+00",NULL,"2021-09-07 13:23:10.115392+00",NULL
